--------------------------------------Result--------------------------------------
value_best: -300.0
position_best: [-55.93832678   4.54306527]
history:
135: [-55.93832678   4.54306527] 300.0
136: [-55.93832678   4.54306527] 300.0
137: [-55.93832678   4.54306527] 300.0
138: [-55.93832678   4.54306527] 300.0
139: [-55.93832678   4.54306527] 300.0
140: [-55.93832678   4.54306527] 300.0
141: [-55.93832678   4.54306527] 300.0
142: [-55.93832678   4.54306527] 300.0
143: [-55.93832678   4.54306527] 300.0
144: [-55.93832678   4.54306527] 300.0
145: [-55.93832678   4.54306527] 300.0
146: [-55.93832678   4.54306527] 300.0
147: [-55.93832678   4.54306527] 300.0
148: [-55.93832678   4.54306527] 300.0
149: [-55.93832678   4.54306527] 300.0
150: [-55.93832678   4.54306527] 300.0
151: [-55.93832678   4.54306527] 300.0
152: [-55.93832678   4.54306527] 300.0
153: [-55.93832678   4.54306527] 300.0
154: [-55.93832678   4.54306527] 300.0
155: [-55.93832678   4.54306527] 300.0
156: [-55.93832678   4.54306527] 300.0
157: [-55.93832678   4.54306527] 300.0
158: [-55.93832678   4.54306527] 300.0
159: [-55.93832678   4.54306527] 300.0
160: [-55.93832678   4.54306527] 300.0
161: [-55.93832678   4.54306527] 300.0
162: [-55.93832678   4.54306527] 300.0
163: [-55.93832678   4.54306527] 300.0
164: [-55.93832678   4.54306527] 300.0
165: [-55.93832678   4.54306527] 300.0
166: [-55.93832678   4.54306527] 300.0
167: [-55.93832678   4.54306527] 300.0
168: [-55.93832678   4.54306527] 300.0
169: [-55.93832678   4.54306527] 300.0
170: [-55.93832678   4.54306527] 300.0
171: [-55.93832678   4.54306527] 300.0
172: [-55.93832678   4.54306527] 300.0
173: [-55.93832678   4.54306527] 300.0
174: [-55.93832678   4.54306527] 300.0
175: [-55.93832678   4.54306527] 300.0
176: [-55.93832678   4.54306527] 300.0
177: [-55.93832678   4.54306527] 300.0
178: [-55.93832678   4.54306527] 300.0
179: [-55.93832678   4.54306527] 300.0
180: [-55.93832678   4.54306527] 300.0
181: [-55.93832678   4.54306527] 300.0
182: [-55.93832678   4.54306527] 300.0
183: [-55.93832678   4.54306527] 300.0
184: [-55.93832678   4.54306527] 300.0
185: [-55.93832678   4.54306527] 300.0
186: [-55.93832678   4.54306527] 300.0
187: [-55.93832678   4.54306527] 300.0
188: [-55.93832678   4.54306527] 300.0
189: [-55.93832678   4.54306527] 300.0
190: [-55.93832678   4.54306527] 300.0
191: [-55.93832678   4.54306527] 300.0
192: [-55.93832678   4.54306527] 300.0
193: [-55.93832678   4.54306527] 300.0
194: [-55.93832678   4.54306527] 300.0
195: [-55.93832678   4.54306527] 300.0
196: [-55.93832678   4.54306527] 300.0
197: [-55.93832678   4.54306527] 300.0
198: [-55.93832678   4.54306527] 300.0
199: [-55.93832678   4.54306527] 300.0
200: [-55.93832678   4.54306527] 300.0
