--------------------------------------Result--------------------------------------
value_best: -300.4239328538847
position_best: [-56.52955594   4.34887612]
history:
126: [-56.52955594   4.34887612] 300.4239328538847
127: [-56.52955594   4.34887612] 300.4239328538847
128: [-56.52955594   4.34887612] 300.4239328538847
129: [-56.52955594   4.34887612] 300.4239328538847
130: [-56.52955594   4.34887612] 300.4239328538847
131: [-56.52955594   4.34887612] 300.4239328538847
132: [-56.52955594   4.34887612] 300.4239328538847
133: [-56.52955594   4.34887612] 300.4239328538847
134: [-56.52955594   4.34887612] 300.4239328538847
135: [-56.52955594   4.34887612] 300.4239328538847
136: [-56.52955594   4.34887612] 300.4239328538847
137: [-56.52955594   4.34887612] 300.4239328538847
138: [-56.52955594   4.34887612] 300.4239328538847
139: [-56.52955594   4.34887612] 300.4239328538847
140: [-56.52955594   4.34887612] 300.4239328538847
141: [-56.52955594   4.34887612] 300.4239328538847
142: [-56.52955594   4.34887612] 300.4239328538847
143: [-56.52955594   4.34887612] 300.4239328538847
144: [-56.52955594   4.34887612] 300.4239328538847
145: [-56.52955594   4.34887612] 300.4239328538847
146: [-56.52955594   4.34887612] 300.4239328538847
147: [-56.52955594   4.34887612] 300.4239328538847
148: [-56.52955594   4.34887612] 300.4239328538847
149: [-56.52955594   4.34887612] 300.4239328538847
150: [-56.52955594   4.34887612] 300.4239328538847
151: [-56.52955594   4.34887612] 300.4239328538847
152: [-56.52955594   4.34887612] 300.4239328538847
153: [-56.52955594   4.34887612] 300.4239328538847
154: [-56.52955594   4.34887612] 300.4239328538847
155: [-56.52955594   4.34887612] 300.4239328538847
156: [-56.52955594   4.34887612] 300.4239328538847
157: [-56.52955594   4.34887612] 300.4239328538847
158: [-56.52955594   4.34887612] 300.4239328538847
159: [-56.52955594   4.34887612] 300.4239328538847
160: [-56.52955594   4.34887612] 300.4239328538847
161: [-56.52955594   4.34887612] 300.4239328538847
162: [-56.52955594   4.34887612] 300.4239328538847
163: [-56.52955594   4.34887612] 300.4239328538847
164: [-56.52955594   4.34887612] 300.4239328538847
165: [-56.52955594   4.34887612] 300.4239328538847
166: [-56.52955594   4.34887612] 300.4239328538847
167: [-56.52955594   4.34887612] 300.4239328538847
168: [-56.52955594   4.34887612] 300.4239328538847
169: [-56.52955594   4.34887612] 300.4239328538847
170: [-56.52955594   4.34887612] 300.4239328538847
171: [-56.52955594   4.34887612] 300.4239328538847
172: [-56.52955594   4.34887612] 300.4239328538847
173: [-56.52955594   4.34887612] 300.4239328538847
174: [-56.52955594   4.34887612] 300.4239328538847
175: [-56.52955594   4.34887612] 300.4239328538847
176: [-56.52955594   4.34887612] 300.4239328538847
177: [-56.52955594   4.34887612] 300.4239328538847
178: [-56.52955594   4.34887612] 300.4239328538847
179: [-56.52955594   4.34887612] 300.4239328538847
180: [-56.52955594   4.34887612] 300.4239328538847
181: [-56.52955594   4.34887612] 300.4239328538847
182: [-56.52955594   4.34887612] 300.4239328538847
183: [-56.52955594   4.34887612] 300.4239328538847
184: [-56.52955594   4.34887612] 300.4239328538847
185: [-56.52955594   4.34887612] 300.4239328538847
186: [-56.52955594   4.34887612] 300.4239328538847
187: [-56.52955594   4.34887612] 300.4239328538847
188: [-56.52955594   4.34887612] 300.4239328538847
189: [-56.52955594   4.34887612] 300.4239328538847
190: [-56.52955594   4.34887612] 300.4239328538847
191: [-56.52955594   4.34887612] 300.4239328538847
192: [-56.52955594   4.34887612] 300.4239328538847
193: [-56.52955594   4.34887612] 300.4239328538847
194: [-56.52955594   4.34887612] 300.4239328538847
195: [-56.52955594   4.34887612] 300.4239328538847
196: [-56.52955594   4.34887612] 300.4239328538847
197: [-56.52955594   4.34887612] 300.4239328538847
198: [-56.52955594   4.34887612] 300.4239328538847
199: [-56.52955594   4.34887612] 300.4239328538847
200: [-56.52955594   4.34887612] 300.4239328538847
