--------------------------------------Result--------------------------------------
value_best: -300.9089339501221
position_best: [-56.07640355   5.32990734]
history:
127: [-53.33857217   5.99934733] 309.220704924649
128: [-53.33857217   5.99934733] 309.220704924649
129: [-53.33857217   5.99934733] 309.220704924649
130: [-53.33857217   5.99934733] 309.220704924649
131: [-53.33857217   5.99934733] 309.220704924649
132: [-53.33857217   5.99934733] 309.220704924649
133: [-53.33857217   5.99934733] 309.220704924649
134: [-53.33857217   5.99934733] 309.220704924649
135: [-53.33857217   5.99934733] 309.220704924649
136: [-53.33857217   5.99934733] 309.220704924649
137: [-53.33857217   5.99934733] 309.220704924649
138: [-53.33857217   5.99934733] 309.220704924649
139: [-53.33857217   5.99934733] 309.220704924649
140: [-53.33857217   5.99934733] 309.220704924649
141: [-53.33857217   5.99934733] 309.220704924649
142: [-53.33857217   5.99934733] 309.220704924649
143: [-53.33857217   5.99934733] 309.220704924649
144: [-53.33857217   5.99934733] 309.220704924649
145: [-53.33857217   5.99934733] 309.220704924649
146: [-53.33857217   5.99934733] 309.220704924649
147: [-53.33857217   5.99934733] 309.220704924649
148: [-53.33857217   5.99934733] 309.220704924649
149: [-53.33857217   5.32990735] 308.67264016560296
150: [-53.33857217   5.32990735] 308.67264016560296
151: [-53.33857217   5.32990735] 308.67264016560296
152: [-53.33857217   5.32990735] 308.67264016560296
153: [-53.33857217   5.32990735] 308.67264016560296
154: [-53.33857217   5.32990735] 308.67264016560296
155: [-53.33857217   5.32990735] 308.67264016560296
156: [-53.33857217   5.32990735] 308.67264016560296
157: [-53.33857217   5.32990735] 308.67264016560296
158: [-53.33857217   5.32990735] 308.67264016560296
159: [-53.33857217   5.32990735] 308.67264016560296
160: [-53.33857217   5.32990735] 308.67264016560296
161: [-53.33857217   5.32990735] 308.67264016560296
162: [-53.33857217   5.32990735] 308.67264016560296
163: [-53.33857217   5.32990735] 308.67264016560296
164: [-53.33857217   5.32990735] 308.67264016560296
165: [-53.33857217   5.32990735] 308.67264016560296
166: [-53.33857217   5.32990735] 308.67264016560296
167: [-53.33857217   5.32990735] 308.67264016560296
168: [-53.33857217   5.32990735] 308.67264016560296
169: [-53.33857217   5.32990735] 308.67264016560296
170: [-53.33857217   5.32990735] 308.67264016560296
171: [-53.33857217   5.32990735] 308.67264016560296
172: [-53.33857217   5.32990735] 308.67264016560296
173: [-53.33857217   5.32990735] 308.67264016560296
174: [-53.33857217   5.32990735] 308.67264016560296
175: [-53.33857217   5.32990735] 308.67264016560296
176: [-53.33857217   5.32990735] 308.67264016560296
177: [-53.33857217   5.32990735] 308.67264016560296
178: [-53.33857217   5.32990735] 308.67264016560296
179: [-53.33857217   5.32990735] 308.67264016560296
180: [-53.33857217   5.32990735] 308.67264016560296
181: [-53.33857217   5.32990735] 308.67264016560296
182: [-53.33857217   5.32990735] 308.67264016560296
183: [-53.33857217   5.32990735] 308.67264016560296
184: [-53.33857217   5.32990735] 308.67264016560296
185: [-55.40417484   5.32990735] 300.92547123418467
186: [-55.40417484   5.32990735] 300.92547123418467
187: [-55.40417484   5.32990735] 300.92547123418467
188: [-55.40417484   5.32990735] 300.92547123418467
189: [-55.40417484   5.32990735] 300.92547123418467
190: [-55.40417484   5.32990735] 300.92547123418467
191: [-55.40417484   5.32990735] 300.92547123418467
192: [-55.40417484   5.32990735] 300.92547123418467
193: [-55.40417484   5.32990735] 300.92547123418467
194: [-55.40417484   5.32990735] 300.92547123418467
195: [-55.40417484   5.32990735] 300.92547123418467
196: [-55.40417484   5.32990735] 300.92547123418467
197: [-55.40417484   5.32990735] 300.92547123418467
198: [-56.07640355   5.32990734] 300.9089339501221
199: [-56.07640355   5.32990734] 300.9089339501221
200: [-56.07640355   5.32990734] 300.9089339501221
