--------------------------------------Result--------------------------------------
value_best: -300.23909491859126
position_best: [-56.03601451   4.9445391 ]
history:
127: [-54.90096325   4.96090844] 301.3423285404632
128: [-54.90096325   4.96090844] 301.3423285404632
129: [-54.90096325   4.96090844] 301.3423285404632
130: [-54.90096325   4.96090844] 301.3423285404632
131: [-54.90096325   4.96090844] 301.3423285404632
132: [-54.90096325   4.96090844] 301.3423285404632
133: [-54.90096325   4.96090844] 301.3423285404632
134: [-54.90096325   4.96090844] 301.3423285404632
135: [-54.90096325   4.96090844] 301.3423285404632
136: [-54.90096325   4.96090844] 301.3423285404632
137: [-54.90096325   4.96090844] 301.3423285404632
138: [-54.90096325   4.96090844] 301.3423285404632
139: [-54.90096325   4.96090844] 301.3423285404632
140: [-54.90096325   4.96090844] 301.3423285404632
141: [-54.90096325   4.96090844] 301.3423285404632
142: [-54.90096325   4.96090844] 301.3423285404632
143: [-54.90096325   4.96090844] 301.3423285404632
144: [-54.90096325   4.96090844] 301.3423285404632
145: [-54.90096325   4.96090844] 301.3423285404632
146: [-54.90096325   4.96090844] 301.3423285404632
147: [-54.90096325   4.96090844] 301.3423285404632
148: [-54.90096325   4.96090844] 301.3423285404632
149: [-54.90096325   4.96090844] 301.3423285404632
150: [-54.90096325   4.96090844] 301.3423285404632
151: [-54.90096325   4.96090844] 301.3423285404632
152: [-54.90096325   4.96090844] 301.3423285404632
153: [-54.90096325   4.96090844] 301.3423285404632
154: [-54.90096325   4.96090844] 301.3423285404632
155: [-54.90096325   4.96090844] 301.3423285404632
156: [-54.90096325   4.96090844] 301.3423285404632
157: [-54.90096325   4.96090844] 301.3423285404632
158: [-54.90096325   4.96090844] 301.3423285404632
159: [-54.90096325   4.96090844] 301.3423285404632
160: [-54.90096325   4.96090844] 301.3423285404632
161: [-54.90096325   4.96090844] 301.3423285404632
162: [-54.90096325   4.96090844] 301.3423285404632
163: [-54.90096325   4.96090844] 301.3423285404632
164: [-54.90096325   4.96090844] 301.3423285404632
165: [-56.03601451   4.96090844] 300.25740768295583
166: [-56.03601451   4.96090844] 300.25740768295583
167: [-56.03601451   4.96090844] 300.25740768295583
168: [-56.03601451   4.96090844] 300.25740768295583
169: [-56.03601451   4.96090844] 300.25740768295583
170: [-56.03601451   4.96090844] 300.25740768295583
171: [-56.03601451   4.96090844] 300.25740768295583
172: [-56.03601451   4.96090844] 300.25740768295583
173: [-56.03601451   4.96090844] 300.25740768295583
174: [-56.03601451   4.96090844] 300.25740768295583
175: [-56.03601451   4.96090844] 300.25740768295583
176: [-56.03601451   4.96090844] 300.25740768295583
177: [-56.03601451   4.96090844] 300.25740768295583
178: [-56.03601451   4.96090844] 300.25740768295583
179: [-56.03601451   4.96090844] 300.25740768295583
180: [-56.03601451   4.96090844] 300.25740768295583
181: [-56.03601451   4.96090844] 300.25740768295583
182: [-56.03601451   4.9445391 ] 300.23909491859126
183: [-56.03601451   4.9445391 ] 300.23909491859126
184: [-56.03601451   4.9445391 ] 300.23909491859126
185: [-56.03601451   4.9445391 ] 300.23909491859126
186: [-56.03601451   4.9445391 ] 300.23909491859126
187: [-56.03601451   4.9445391 ] 300.23909491859126
188: [-56.03601451   4.9445391 ] 300.23909491859126
189: [-56.03601451   4.9445391 ] 300.23909491859126
190: [-56.03601451   4.9445391 ] 300.23909491859126
191: [-56.03601451   4.9445391 ] 300.23909491859126
192: [-56.03601451   4.9445391 ] 300.23909491859126
193: [-56.03601451   4.9445391 ] 300.23909491859126
194: [-56.03601451   4.9445391 ] 300.23909491859126
195: [-56.03601451   4.9445391 ] 300.23909491859126
196: [-56.03601451   4.9445391 ] 300.23909491859126
197: [-56.03601451   4.9445391 ] 300.23909491859126
198: [-56.03601451   4.9445391 ] 300.23909491859126
199: [-56.03601451   4.9445391 ] 300.23909491859126
200: [-56.03601451   4.9445391 ] 300.23909491859126
